"nom.size","an","N","T","omega"
0.046,0.05,100,2,-4.50490334495273
0.034,0.1,100,2,-4.50490334495273
0.03,0.15,100,2,-4.50490334495273
0.026,0.3,100,2,-4.50490334495273
0.024,0.4,100,2,-4.50490334495273
0.06,0.05,100,2,-14.2209118033605
0.052,0.1,100,2,-14.2209118033605
0.05,0.15,100,2,-14.2209118033605
0.038,0.3,100,2,-14.2209118033605
0.036,0.4,100,2,-14.2209118033605
0.06,0.05,100,2,-6.85309779980658
0.042,0.1,100,2,-6.85309779980658
0.04,0.15,100,2,-6.85309779980658
0.03,0.3,100,2,-6.85309779980658
0.026,0.4,100,2,-6.85309779980658
0.078,0.05,100,2,-22.1299930518858
0.066,0.1,100,2,-22.1299930518858
0.058,0.15,100,2,-22.1299930518858
0.046,0.3,100,2,-22.1299930518858
0.034,0.4,100,2,-22.1299930518858
0.064,0.05,100,2,-9.13040772248909
0.052,0.1,100,2,-9.13040772248909
0.05,0.15,100,2,-9.13040772248909
0.044,0.3,100,2,-9.13040772248909
0.038,0.4,100,2,-9.13040772248909
0.088,0.05,100,2,-26.6171046562776
0.074,0.1,100,2,-26.6171046562776
0.068,0.15,100,2,-26.6171046562776
0.052,0.3,100,2,-26.6171046562776
0.038,0.4,100,2,-26.6171046562776
0.07,0.05,100,2,-8.11474802846037
0.056,0.1,100,2,-8.11474802846037
0.05,0.15,100,2,-8.11474802846037
0.042,0.3,100,2,-8.11474802846037
0.032,0.4,100,2,-8.11474802846037
0.078,0.05,100,2,-19.3060247649694
0.064,0.1,100,2,-19.3060247649694
0.062,0.15,100,2,-19.3060247649694
0.042,0.3,100,2,-19.3060247649694
0.034,0.4,100,2,-19.3060247649694
0.036,0.05,100,2,-5.90832263794922
0.024,0.1,100,2,-5.90832263794922
0.024,0.15,100,2,-5.90832263794922
0.018,0.3,100,2,-5.90832263794922
0.014,0.4,100,2,-5.90832263794922
0.076,0.05,100,2,-12.5122973719256
0.066,0.1,100,2,-12.5122973719256
0.058,0.15,100,2,-12.5122973719256
0.048,0.3,100,2,-12.5122973719256
0.04,0.4,100,2,-12.5122973719256
0.04,0.05,100,2,-7.44419423015931
0.026,0.1,100,2,-7.44419423015931
0.026,0.15,100,2,-7.44419423015931
0.018,0.3,100,2,-7.44419423015931
0.014,0.4,100,2,-7.44419423015931
0.07,0.05,100,2,-14.4679817031187
0.064,0.1,100,2,-14.4679817031187
0.058,0.15,100,2,-14.4679817031187
0.044,0.3,100,2,-14.4679817031187
0.038,0.4,100,2,-14.4679817031187
0.04,0.05,100,10,-4.50490334495273
0.04,0.1,100,10,-4.50490334495273
0.038,0.15,100,10,-4.50490334495273
0.036,0.3,100,10,-4.50490334495273
0.032,0.4,100,10,-4.50490334495273
0.036,0.05,100,10,-14.2209118033605
0.036,0.1,100,10,-14.2209118033605
0.034,0.15,100,10,-14.2209118033605
0.03,0.3,100,10,-14.2209118033605
0.03,0.4,100,10,-14.2209118033605
0.04,0.05,100,10,-6.85309779980658
0.04,0.1,100,10,-6.85309779980658
0.038,0.15,100,10,-6.85309779980658
0.036,0.3,100,10,-6.85309779980658
0.034,0.4,100,10,-6.85309779980658
0.036,0.05,100,10,-22.1299930518858
0.036,0.1,100,10,-22.1299930518858
0.034,0.15,100,10,-22.1299930518858
0.03,0.3,100,10,-22.1299930518858
0.03,0.4,100,10,-22.1299930518858
0.04,0.05,100,10,-9.13040772248909
0.038,0.1,100,10,-9.13040772248909
0.036,0.15,100,10,-9.13040772248909
0.034,0.3,100,10,-9.13040772248909
0.034,0.4,100,10,-9.13040772248909
0.038,0.05,100,10,-26.6171046562776
0.036,0.1,100,10,-26.6171046562776
0.034,0.15,100,10,-26.6171046562776
0.03,0.3,100,10,-26.6171046562776
0.03,0.4,100,10,-26.6171046562776
0.04,0.05,100,10,-8.11474802846037
0.038,0.1,100,10,-8.11474802846037
0.036,0.15,100,10,-8.11474802846037
0.034,0.3,100,10,-8.11474802846037
0.034,0.4,100,10,-8.11474802846037
0.036,0.05,100,10,-19.3060247649694
0.036,0.1,100,10,-19.3060247649694
0.034,0.15,100,10,-19.3060247649694
0.03,0.3,100,10,-19.3060247649694
0.03,0.4,100,10,-19.3060247649694
0.044,0.05,100,10,-5.90832263794922
0.044,0.1,100,10,-5.90832263794922
0.042,0.15,100,10,-5.90832263794922
0.04,0.3,100,10,-5.90832263794922
0.038,0.4,100,10,-5.90832263794922
0.036,0.05,100,10,-12.5122973719256
0.036,0.1,100,10,-12.5122973719256
0.034,0.15,100,10,-12.5122973719256
0.03,0.3,100,10,-12.5122973719256
0.03,0.4,100,10,-12.5122973719256
0.044,0.05,100,10,-7.44419423015931
0.044,0.1,100,10,-7.44419423015931
0.042,0.15,100,10,-7.44419423015931
0.04,0.3,100,10,-7.44419423015931
0.038,0.4,100,10,-7.44419423015931
0.036,0.05,100,10,-14.4679817031187
0.036,0.1,100,10,-14.4679817031187
0.034,0.15,100,10,-14.4679817031187
0.03,0.3,100,10,-14.4679817031187
0.03,0.4,100,10,-14.4679817031187
0.064,0.05,500,2,-4.50490334495273
0.058,0.1,500,2,-4.50490334495273
0.054,0.15,500,2,-4.50490334495273
0.046,0.3,500,2,-4.50490334495273
0.048,0.4,500,2,-4.50490334495273
0.074,0.05,500,2,-14.2209118033605
0.068,0.1,500,2,-14.2209118033605
0.058,0.15,500,2,-14.2209118033605
0.058,0.3,500,2,-14.2209118033605
0.056,0.4,500,2,-14.2209118033605
0.066,0.05,500,2,-6.85309779980658
0.064,0.1,500,2,-6.85309779980658
0.058,0.15,500,2,-6.85309779980658
0.05,0.3,500,2,-6.85309779980658
0.05,0.4,500,2,-6.85309779980658
0.076,0.05,500,2,-22.1299930518858
0.07,0.1,500,2,-22.1299930518858
0.066,0.15,500,2,-22.1299930518858
0.058,0.3,500,2,-22.1299930518858
0.06,0.4,500,2,-22.1299930518858
0.076,0.05,500,2,-9.13040772248909
0.07,0.1,500,2,-9.13040772248909
0.068,0.15,500,2,-9.13040772248909
0.066,0.3,500,2,-9.13040772248909
0.06,0.4,500,2,-9.13040772248909
0.074,0.05,500,2,-26.6171046562776
0.062,0.1,500,2,-26.6171046562776
0.058,0.15,500,2,-26.6171046562776
0.056,0.3,500,2,-26.6171046562776
0.054,0.4,500,2,-26.6171046562776
0.072,0.05,500,2,-8.11474802846037
0.064,0.1,500,2,-8.11474802846037
0.058,0.15,500,2,-8.11474802846037
0.054,0.3,500,2,-8.11474802846037
0.056,0.4,500,2,-8.11474802846037
0.072,0.05,500,2,-19.3060247649694
0.062,0.1,500,2,-19.3060247649694
0.056,0.15,500,2,-19.3060247649694
0.046,0.3,500,2,-19.3060247649694
0.046,0.4,500,2,-19.3060247649694
0.042,0.05,500,2,-5.90832263794922
0.038,0.1,500,2,-5.90832263794922
0.03,0.15,500,2,-5.90832263794922
0.024,0.3,500,2,-5.90832263794922
0.024,0.4,500,2,-5.90832263794922
0.074,0.05,500,2,-12.5122973719256
0.066,0.1,500,2,-12.5122973719256
0.062,0.15,500,2,-12.5122973719256
0.052,0.3,500,2,-12.5122973719256
0.054,0.4,500,2,-12.5122973719256
0.042,0.05,500,2,-7.44419423015931
0.038,0.1,500,2,-7.44419423015931
0.03,0.15,500,2,-7.44419423015931
0.024,0.3,500,2,-7.44419423015931
0.024,0.4,500,2,-7.44419423015931
0.074,0.05,500,2,-14.4679817031187
0.066,0.1,500,2,-14.4679817031187
0.062,0.15,500,2,-14.4679817031187
0.052,0.3,500,2,-14.4679817031187
0.054,0.4,500,2,-14.4679817031187
0.04,0.05,500,10,-4.50490334495273
0.04,0.1,500,10,-4.50490334495273
0.038,0.15,500,10,-4.50490334495273
0.036,0.3,500,10,-4.50490334495273
0.036,0.4,500,10,-4.50490334495273
0.044,0.05,500,10,-14.2209118033605
0.042,0.1,500,10,-14.2209118033605
0.042,0.15,500,10,-14.2209118033605
0.036,0.3,500,10,-14.2209118033605
0.036,0.4,500,10,-14.2209118033605
0.04,0.05,500,10,-6.85309779980658
0.04,0.1,500,10,-6.85309779980658
0.038,0.15,500,10,-6.85309779980658
0.036,0.3,500,10,-6.85309779980658
0.036,0.4,500,10,-6.85309779980658
0.044,0.05,500,10,-22.1299930518858
0.042,0.1,500,10,-22.1299930518858
0.042,0.15,500,10,-22.1299930518858
0.036,0.3,500,10,-22.1299930518858
0.036,0.4,500,10,-22.1299930518858
0.036,0.05,500,10,-9.13040772248909
0.036,0.1,500,10,-9.13040772248909
0.034,0.15,500,10,-9.13040772248909
0.032,0.3,500,10,-9.13040772248909
0.032,0.4,500,10,-9.13040772248909
0.044,0.05,500,10,-26.6171046562776
